251544,"2015/09/17 17:26:57",26.25,35.37,32.90," 376016.65"
251545,"2015/09/17 17:26:57",26.25,35.37,32.90," 376016.85"
251546,"2015/09/17 17:26:57",26.25,35.37,32.90," 376016.99"
251547,"2015/09/17 17:26:57",26.25,35.00,32.90," 376017.00"
251548,"2015/09/17 17:26:58",26.25,35.16,32.90," 376017.30"
251549,"2015/09/17 17:26:58",26.25,34.95,32.10," 376017.45"
251550,"2015/09/17 17:26:58",26.25,34.95,32.10," 376017.55"
251551,"2015/09/17 17:26:58",26.25,35.05,32.10," 376017.65"
251552,"2015/09/17 17:26:58",26.25,35.05,32.10," 376017.85"
251553,"2015/09/17 17:26:58",26.25,34.90,32.10," 376017.90"
251554,"2015/09/17 17:26:58",26.25,34.90,32.10," 376018.05"
251555,"2015/09/17 17:26:59",26.25,35.12,32.10," 376018.15"
251556,"2015/09/17 17:26:59",26.25,35.53,32.10," 376018.30"
251557,"2015/09/17 17:26:59",26.25,35.53,32.10," 376018.45"
251558,"2015/09/17 17:26:59",26.25,35.26,32.10," 376018.55"
251559,"2015/09/17 17:26:59",26.25,35.18,32.10," 376018.65"
251560,"2015/09/17 17:26:59",26.25,35.18,32.10," 376018.75"
251561,"2015/09/17 17:26:59",26.25,35.20,32.10," 376018.85"
251562,"2015/09/17 17:26:59",26.25,35.20,32.10," 376018.95"
251563,"2015/09/17 17:26:59",26.25,35.23,32.10," 376019.05"
251564,"2015/09/17 17:27:00",26.25,35.23,32.10," 376019.25"
251565,"2015/09/17 17:27:00",26.25,35.33,32.10," 376019.35"
251566,"2015/09/17 17:27:00",26.25,35.33,32.10," 376019.45"
251567,"2015/09/17 17:27:00",26.25,35.43,32.10," 376019.55"
251568,"2015/09/17 17:27:00",26.25,35.43,32.10," 376019.65"
251569,"2015/09/17 17:27:00",26.25,35.23,32.10," 376019.75"
251570,"2015/09/17 17:27:00",26.25,35.23,32.10," 376019.85"
251571,"2015/09/17 17:27:00",26.25,35.08,32.10," 376019.95"
251572,"2015/09/17 17:27:00",26.25,35.08,32.10," 376020.05"
251573,"2015/09/17 17:27:01",26.25,35.08,32.10," 376020.20"
251574,"2015/09/17 17:27:01",26.25,35.46,32.10," 376020.30"
251575,"2015/09/17 17:27:01",26.25,35.46,32.10," 376020.45"
251576,"2015/09/17 17:27:01",26.25,35.07,32.10," 376020.55"
251577,"2015/09/17 17:27:01",26.25,35.07,32.10," 376020.70"
251578,"2015/09/17 17:27:01",26.25,35.41,32.10," 376020.80"
251579,"2015/09/17 17:27:01",26.25,35.41,32.10," 376020.95"
251580,"2015/09/17 17:27:02",26.25,35.01,32.10," 376021.05"
251581,"2015/09/17 17:27:02",26.25,35.01,32.10," 376021.20"
251582,"2015/09/17 17:27:02",26.25,35.35,32.10," 376021.30"
251583,"2015/09/17 17:27:02",26.25,35.26,32.10," 376021.40"
251584,"2015/09/17 17:27:02",26.25,35.26,32.10," 376021.55"
251585,"2015/09/17 17:27:02",26.25,35.18,32.10," 376021.65"
251586,"2015/09/17 17:27:02",26.25,35.18,32.10," 376021.80"
251587,"2015/09/17 17:27:02",26.25,35.39,32.10," 376021.95"
251588,"2015/09/17 17:27:03",26.25,35.60,32.10," 376022.05"
251589,"2015/09/17 17:27:03",26.25,35.60,32.10," 376022.20"
251590,"2015/09/17 17:27:03",26.25,35.29,32.10," 376022.30"
251591,"2015/09/17 17:27:03",26.25,35.29,32.10," 376022.45"
251592,"2015/09/17 17:27:03",26.25,35.55,32.10," 376022.55"
251593,"2015/09/17 17:27:03",26.25,35.55,32.10," 376022.65"
251594,"2015/09/17 17:27:03",26.25,35.64,32.10," 376022.75"
251595,"2015/09/17 17:27:03",26.25,35.64,32.10," 376022.85"
